avg degree: 8.97, wc cost, ed cost, wc candidate, ed candidate, answer count, wc time, ex time, isWcBad, isEdBad, wcIntNum, wcIntSum, edIntNum
FloydBennet-NewYork.query,36,127,6,3,28,0.430517,0.080299,0,0,2,4,7
GoldMedal-Sarajevo-Calgary.query,7643,270524,138,56,637,0.691404,3.465881,0,0,66,100,153
GhostDogs-of-MoonLake.query,0,0,0,0,0,0.138821,0.028516,0,0,0,0,0
WWI-Neville.query,683,62356,38,31,234,0.121175,0.383327,0,0,82,129,681
CaesarsPalace-LasVegas.query,499,5918,564,789,497,0.073522,0.085264,0,0,1,2,1
1973Ufo-sightingsInFairlessHillsPa.query,3680,214653,448,215,2009,0.147477,1.061992,0,0,6,13,127
Similar-to-Acupuncture.query,179,10841,10,10,0,0.103059,0.085122,0,0,1,1,1
WilmingtonStatePrison.query,13171,0,197,197,7044,0.263258,0.052145,0,0,225,225,0
ProctorGamble-Edgewood.query,49489,2200679,416,182,26931,0.537665,17.148688,0,0,228,558,3041
GoldenEye-DVD-Brosnan.query,17234,5958329,540,147,6201,0.562287,47.878888,0,1,72,121,38127
SirFrancisDrake-SanFrancisco.query,272,2092,78,60,194,0.057502,0.047026,0,0,8,9,19
Pluto-Plane.query,5893,30906,579,193,134,0.121461,0.166064,0,0,6,18,119
SierraMadre-Del-Sur.query,646502,5526035,287,222,301158,6.975166,41.876216,0,1,2240,2385,42
FrenchIndianWar.query,268,1962,14,10,89,0.230239,0.038795,0,0,66,75,84
WellsFargo-HomeMortgage.query,2425,73644,202,189,1045,0.101972,0.338504,0,0,14,16,127
FrankWalker-Football.query,376,1649,60,30,144,0.056939,0.042359,0,0,3,6,13
Shakespeare-RomeoAndJuliet.query,179,3105,13,13,79,0.239757,0.119933,0,0,15,15,19
Yosemite-National-Park.query,3709276,4944810,1137,188,518051,29.886715,39.949964,0,1,4722,7962,43
WinterOlympics-Turin.query,285,5767,112,112,223,0.081979,0.058335,0,0,2,3,28
MetalGearSolid-Konami.query,479,0,42,42,195,0.081024,0.031174,0,0,16,16,0
Yahoo.query,1573,93020,237,189,941,0.099091,0.655766,0,0,5,7,127
ShaniaTwain.query,1,0,1,1,0,0.103114,0.028851,0,0,1,1,0
Superman-PlanetKrypton.query,2168,32545,240,216,1942,0.072513,0.154551,0,0,6,7,119
PierceBrosnan-GoldenEye.query,13789,255498,214,148,237,0.185015,1.270414,0,0,1,4,1
StarWars-Lucas.query,439,0,13,40,287,0.079879,0.031371,0,0,13,13,0
OfficerGentleman-Award.query,95839,889568,793,371,52935,1.003819,4.771186,0,0,243,329,127
Galvin-SecretaryOfState.query,390,5918,397,789,390,0.0638,0.08591,0,0,1,2,1
SublimeText-C++.query,117,2763,33,33,79,0.058673,0.040516,0,0,4,5,17
Piano-Organ.query,4972,46864,394,197,3558,0.095978,0.21478,0,0,15,30,127
OfficerGentleman-Performance.query,0,0,0,0,0,0.104241,0.026943,0,0,0,0,0
Pizza-Calcium.query,1158,0,138,157,926,0.270454,0.037771,0,0,2,2,0
Young-republicans-Sex-and-the-City.query,3934,116968,210,23,1084,0.197114,0.716417,0,0,8,34,127
StartWars-Ewok.query,0,0,0,0,0,0.210405,0.031441,0,0,0,0,0
NeedForSpeed-Xbox.query,166418,5918,69,789,80938,2.72163,0.096433,0,0,42,49,1
Google.query,314,0,47,47,197,0.056985,0.029805,0,0,11,11,0
XMen-Wolverine.query,8,361,12,6,2,0.10248,0.028741,0,0,1,2,11
TimBernersLee-WWW.query,46,0,1,1,30,0.07768,0.02795,0,0,5,5,0
DaVinci.query,215,5918,136,789,134,0.123101,0.076178,0,0,3,5,1
GoaldCost-Bellagio.query,592,26784,137,121,385,0.058807,0.130746,0,0,27,29,127
Yugoslavia-UnavoidableWar-NoraBeloff.query,1112266,11636994,1266,371,28414,5.674495,94.380183,0,1,1560,6284,138185
Route66-Chicago.query,2425,73644,202,189,1045,0.100857,0.354448,0,0,14,16,127
Egg-Veganism.query,229450,3451916,69,51,39,1.659647,25.324274,0,0,43,73,88
1970privateSchoolsAnnistonAlabama.query,672,8763,25,13,177,0.141233,0.0796,0,0,18,33,84
TransWorldAirlines-GrandCanyonmid-airCollision.query,1113,5918,1113,789,371,0.136204,0.100644,0,0,1,3,1
RobertsonianTranslocation-DownSyndrome.query,159,5918,207,789,159,0.056799,0.076994,0,0,1,2,1
WWI-BattleOfVerdun.query,20199,55743,702,188,4590,0.277273,0.361223,0,0,40,62,119
Mchale-Commedy.query,0,0,0,0,0,0.180082,0.028172,0,0,0,0,0
GooGooDolls-BlackBaloon.query,1065,46224,240,216,729,0.070076,0.230965,0,0,6,7,127
Spinoza-Relativity.query,3723,214653,467,215,2009,0.125529,1.002502,0,0,10,21,127
HIV-Condom.query,3241,1468363,125,65,1486,0.158384,8.543747,0,0,39,63,10842
TreasurePlanet-GeorgeLucas.query,1269,0,138,157,1036,0.100652,0.043634,0,0,2,2,0
IndianaPacers-Shelbyville.query,16,0,1,2,13,0.07698,0.030257,0,0,1,1,0
